legacy_id,warning
j-disc-issn-1405-9193,"ISSN checksum failed: ""2428-4881"" -> 2428-4881"
j-disc-issn-1049-8931,"ISSN checksum failed: ""1234-988X"" -> 1234-988X"
j-disc-issn-1728-4414,"ISSN checksum failed: ""1728-5303"" -> 1728-5303"
j-disc-issn-1806-9652,"ISSN checksum failed: ""1806-9652"" -> 1806-9652"
