identity_key,primary_candidate,merged_away,legacy_ids,titles
"issn_l:1229-5701",CAND-006143,"CAND-022951","j-disc-issn-2093-4378;j-disc-issn-1229-5701","Journal of Korean society of spine surgery"
"issn_l:2814-1822",CAND-006286,"CAND-020727","j-disc-issn-2814-1822;j-disc-issn-2616-0668","UMYU Journal of Microbiology Research (UJMR)"
"issn_l:2311-7052",CAND-006337,"CAND-021086","j-disc-issn-2311-7052;j-disc-issn-2221-1527","Social Psychology and Society"
"issn_l:1829-0337",CAND-006359,"CAND-021036","j-disc-issn-2579-3039;j-disc-issn-1829-2429","Armenian Folia Anglistika | Armenian folia anglistika"
"issn_l:1597-7188",CAND-006431,"CAND-021193","j-disc-issn-2735-9964;j-disc-issn-1597-7188","Ibom Medical Journal"
"issn_l:1665-6415",CAND-006533,"CAND-021111","j-disc-issn-2954-4270;j-disc-issn-1665-6415","Theoría Revista del Colegio de Filosofía"
"issn_l:1391-3174",CAND-006551,"CAND-020970","j-disc-issn-2579-1451;j-disc-issn-1391-3174","Journal of the College of Community Physicians of Sri Lanka"
"issn_l:1390-6321",CAND-006610,"CAND-021141","j-disc-issn-2661-6734;j-disc-issn-1390-6321","Revista Científica Ciencia y Tecnología"
"issn_l:1475-9985",CAND-006617,"CAND-020650","j-disc-issn-2058-4555;j-disc-issn-1475-9985","Journal of Innovation in Health Informatics | Informatics in Primary Care"
"issn_l:2073-7203",CAND-006727,"CAND-018035","j-disc-issn-2073-7203;j-disc-issn-2311-3448","State Religion and Church in Russia and Worldwide | State Religion and Church"
"issn_l:2955-1145",CAND-006771,"CAND-021174","j-disc-issn-2955-1153;j-disc-issn-2955-1145","UMYU Scientifica"
"issn_l:0853-442X",CAND-006818,"CAND-020965","j-disc-issn-2355-1402;j-disc-issn-0853-442X","Indonesian Journal of Urology"
"issn_l:2213-3739",CAND-006844,"CAND-009582","j-disc-issn-2213-3739;j-disc-issn-0973-0508","Indian Journal of Neurotrauma"
"issn_l:2523-4463",CAND-006890,"CAND-017472","j-disc-issn-2523-4463;j-disc-issn-3041-217X","Alfred Nobel University Journal of Philoligy | Alfred Nobel University Journal of Philology"
"issn_l:2714-2817",CAND-007050,"CAND-020981","j-disc-issn-2714-4704;j-disc-issn-2714-2817","Journal of the Nigerian Society of Physical Sciences"
"issn_l:1437-2940",CAND-007104,"CAND-023022","j-disc-issn-2699-2337;j-disc-issn-1437-2940","Journal of Family Research"
"issn_l:1604-8156",CAND-007156,"CAND-017480","j-disc-issn-1604-8156;j-disc-issn-2597-2154","Geological Survey of Denmark and Greenland Bulletin | GEUS Bulletin"
"issn_l:0870-8967",CAND-007247,"CAND-022242","j-disc-issn-0870-8967;j-disc-issn-2421-115X","Diacrítica | Diacritica"
"issn_l:2090-7249",CAND-007372,"CAND-017155","j-disc-issn-2090-7249;j-disc-issn-3009-7509","Ain Shams Journal of Surgery"
"issn_l:2622-8475",CAND-007476,"CAND-020873","j-disc-issn-2622-8475;j-disc-issn-2656-9957","Jurnal Teknologi Informatika dan Komputer"
"issn_l:1300-8757",CAND-007591,"CAND-023014","j-disc-issn-2651-4451;j-disc-issn-1300-8757","Türk fizyoterapi ve rehabilitasyon dergisi"
"issn_l:2579-4701",CAND-007674,"CAND-021143","j-disc-issn-2579-4914;j-disc-issn-2579-4701","UNES Journal of Swara Justisia"
"issn_l:2047-9816",CAND-007684,"CAND-017122","j-disc-issn-2058-4601;j-disc-issn-2047-9816","Acta Radiologica Open | Acta Radiologica Short Reports"
"issn_l:1412-1468",CAND-007774,"CAND-020996","j-disc-issn-2355-3545;j-disc-issn-1412-1468","ZIRAA AH MAJALAH ILMIAH PERTANIAN"
"issn_l:1016-1422",CAND-007900,"CAND-012711","j-disc-issn-1016-1422;j-disc-issn-2706-0233","Tropical Agricultural Research"
"issn_l:2443-2210",CAND-008020,"CAND-021041","j-disc-issn-2443-2229;j-disc-issn-2443-2210","Jurnal Teknik Informatika dan Sistem Informasi"
"issn_l:0185-3481",CAND-008041,"CAND-018576","j-disc-issn-2954-4602;j-disc-issn-0185-3481","Revista de Filosofía Universidad Iberoamericana"
"issn_l:1992-5980",CAND-008088,"CAND-009992","j-disc-issn-1992-5980;j-disc-issn-2687-1653","Advanced Engineering Research | Advanced Engineering Research (Rostov-on-Don)"
"issn_l:1225-7737",CAND-008203,"CAND-010054;CAND-022924","j-disc-issn-2384-0293;j-disc-issn-2799-8010;j-disc-issn-1225-7737","Yeungnam university journal of medicine | Journal of Yeungnam Medical Science"
"issn_l:2595-1459",CAND-008225,"CAND-023001","j-disc-issn-2675-2980;j-disc-issn-2595-1459","Journal of the Foot & Ankle"
"issn_l:2303-3827",CAND-008275,"CAND-021119","j-disc-issn-2477-815X;j-disc-issn-2303-3827","Jurnal IUS Kajian Hukum dan Keadilan"
"issn_l:1212-1185",CAND-008454,"CAND-021737","j-disc-issn-2336-4912;j-disc-issn-1213-8312","Acta Gymnica | Acta Universitatis Palackianae Olomucensis. Gymnica"
"issn_l:2652-0397",CAND-008496,"CAND-020754","j-disc-issn-2652-8800;j-disc-issn-2652-0397","Findings"
"issn_l:2775-3174",CAND-008588,"CAND-021074","j-disc-issn-2775-3174;j-disc-issn-2775-4146","IBLAM LAW REVIEW"
"issn_l:1390-7603",CAND-008628,"CAND-021209","j-disc-issn-1390-7603;j-disc-issn-1390-7786","REVISTA CIENCIAS PEDAGÓGICAS E INNOVACIÓN | Revista Ciencias Pedagógicas e Innovación"
