identity_key,primary_candidate,merged_away,legacy_ids,titles
"issn_l:2615-4684",CAND-015038,"CAND-021028","j-disc-issn-2615-6938;j-disc-issn-2615-4684","Indonesian Values and Character Education Journal"
"issn_l:2661-5169",CAND-015049,"CAND-020699","j-disc-issn-2661-5282;j-disc-issn-2661-5169","Green Blue and Digital Economy Journal"
"issn_l:2581-2424",CAND-015065,"CAND-021055","j-disc-issn-2581-2424;j-disc-issn-2597-3657","Jurnal Ilmiah Dinamika Sosial"
"issn_l:1979-1127",CAND-015075,"CAND-018153","j-disc-issn-2502-7433;j-disc-issn-1979-1127","At-Tadbir jurnal ilmiah manajemen"
"issn_l:0214-0071",CAND-015095,"CAND-016557","j-disc-issn-0214-0071;j-disc-issn-2386-4095","Motricidad | European journal of human movement"
"issn_l:2528-1879",CAND-015151,"CAND-021069","j-disc-issn-2528-1879;j-disc-issn-2541-1470","Jurnal Ilmu Ekonomi Terapan"
"issn_l:2241-8229",CAND-015159,"CAND-023130","j-disc-issn-2653-9411;j-disc-issn-2241-8229","ATHENS JOURNAL OF HEALTH & MEDICAL SCIENCES"
"issn_l:1735-4242",CAND-015187,"CAND-023180","j-disc-issn-2645-3452;j-disc-issn-1735-4242","Strides in development of medical education"
"issn_l:2616-0064",CAND-015202,"CAND-016030","j-disc-issn-2676-1327;j-disc-issn-2616-0064","Journal of Karnali Academy of Health Sciences"
"issn_l:1693-7619",CAND-015260,"CAND-015801","j-disc-issn-2460-8424;j-disc-issn-1693-7619","Jurnal Ilmiah Manajemen dan Bisnis"
"issn_l:2721-1096",CAND-015274,"CAND-021163","j-disc-issn-2721-1916;j-disc-issn-2721-1096","JELITA"
"issn_l:1407-5229",CAND-015360,"CAND-022662","j-disc-issn-1407-5229;j-disc-issn-2454-1001","Folia Geographica"
"issn_l:2613-9995",CAND-015437,"CAND-020974","j-disc-issn-2614-0179;j-disc-issn-2613-9995","Ajudikasi Jurnal Ilmu Hukum"
"issn_l:2630-0672",CAND-015508,"CAND-021250","j-disc-issn-2672-9431;j-disc-issn-2630-0672","LEARN Journal : Language Education and Acquisition Research Network"
"issn_l:2581-2130",CAND-015531,"CAND-018027","j-disc-issn-2598-1803;j-disc-issn-2581-2130","Lire Journal (Journal of Linguistics and Literature)"
"issn_l:1693-6191",CAND-015532,"CAND-021133","j-disc-issn-2715-7660;j-disc-issn-1693-6191","Jurnal Teknik"
"issn_l:2006-4772",CAND-015645,"CAND-020648","j-disc-issn-2714-2426;j-disc-issn-2006-4772","Kanem Journal of Medical Sciences"
"issn_l:1999-7566",CAND-015653,"CAND-016113","j-disc-issn-2664-5947;j-disc-issn-1999-7566","Geology and Mineral Resources of World Ocean"
"issn_l:2549-3035",CAND-015672,"CAND-021182","j-disc-issn-2829-3703;j-disc-issn-2549-3035","Al Karima Jurnal Studi Ilmu Al Quran dan Tafsir"
"issn_l:2721-2904",CAND-015756,"CAND-021131","j-disc-issn-2721-2904;j-disc-issn-2721-3242","International Journal on Research in STEM Education"
"issn_l:2085-9880",CAND-015812,"CAND-021180","j-disc-issn-2407-7445;j-disc-issn-2085-9880","Paedagogi Jurnal Kajian Ilmu Pendidikan (e-journal)"
"issn_l:2549-3086",CAND-015836,"CAND-021112","j-disc-issn-2657-1676;j-disc-issn-2549-3086","JAS (Jurnal Akuntansi Syariah)"
"issn_l:1909-0811",CAND-016010,"CAND-018860","j-disc-issn-2805-9204;j-disc-issn-1909-0811","Revista Sapientía"
"issn_l:2656-2855",CAND-016031,"CAND-020989","j-disc-issn-2685-5518;j-disc-issn-2656-2855","Jurnal Informatika dan Rekayasa Perangkat Lunak"
"issn_l:2786-0132",CAND-016045,"CAND-016367","j-disc-issn-2786-0132;j-disc-issn-2356-8291","المجلة المصرية لعلوم المعلومات | المجلة المصریة لعلوم المعلومات"
"issn_l:2738-2699",CAND-016249,"CAND-021123","j-disc-issn-2738-2826;j-disc-issn-2738-2699","Translation Studies Theory and Practice"
"issn_l:2682-7298",CAND-016258,"CAND-021109","j-disc-issn-2792-1093;j-disc-issn-2682-7298","Sri Lanka Journal of Management Studies"
"issn_l:2089-1814",CAND-016293,"CAND-021062","j-disc-issn-2460-3694;j-disc-issn-2089-1814","Eksplora Informatika"
"issn_l:2548-9119",CAND-016325,"CAND-021030","j-disc-issn-2549-1113;j-disc-issn-2548-9119","Autentik Jurnal Pengembangan Pendidikan Dasar"
"issn_l:2355-004X",CAND-016365,"CAND-021098","j-disc-issn-2502-6801;j-disc-issn-2355-004X","Getsempena English Education Journal"
"issn_l:2047-2870",CAND-016378,"CAND-019449","j-disc-issn-2398-6786;j-disc-issn-2047-2870","Orbit A Journal of American Literature | Orbit Writing Around Pynchon"
"issn_l:2350-1863",CAND-016417,"CAND-021052","j-disc-issn-2354-337X;j-disc-issn-2350-1863","Fountain Journal of Natural and Applied Sciences"
"issn_l:0112-7438",CAND-016492,"CAND-023162","j-disc-issn-2703-4542;j-disc-issn-0112-7438","Nursing Praxis in Aotearoa New Zealand"
"issn_l:2548-334X",CAND-016524,"CAND-021059","j-disc-issn-2548-3358;j-disc-issn-2548-334X","FOKUS Jurnal Kajian Keislaman dan Kemasyarakatan"
"issn_l:2086-9932",CAND-016537,"CAND-021101","j-disc-issn-2502-616X;j-disc-issn-2086-9932","Studi Arab"
"issn_l:2148-3809",CAND-016544,"CAND-018879","j-disc-issn-2147-9054;j-disc-issn-2587-2303","TURKISH JOURNAL OF ISLAMIC ECONOMICS | Turkish journal of islamic economics"
"issn_l:2716-2605",CAND-016558,"CAND-021171","j-disc-issn-2716-2605;j-disc-issn-2721-0677","LAN TABUR Jurnal Ekonomi Syariah"
"issn_l:2302-8106",CAND-016575,"CAND-021114","j-disc-issn-2656-4718;j-disc-issn-2302-8106","Jurnal Ranah Komunikasi (JRK)"
"issn_l:2085-4366",CAND-016649,"CAND-020990","j-disc-issn-2684-950X;j-disc-issn-2085-4366","JURNAL ILMIAH KESEHATAN MASYARAKAT Media Komunikasi Komunitas Kesehatan Masyarakat"
"issn_l:2273-774X",CAND-016739,"CAND-022936","j-disc-issn-2824-3633;j-disc-issn-2273-774X","INRAE productions animales | INRAE Productions Animales"
"issn_l:2148-6026",CAND-016759,"CAND-021053","j-disc-issn-2687-4121;j-disc-issn-2148-6026","Journal of The Near East University Faculty of Theology"
"issn_l:0304-4793",CAND-016815,"CAND-023004","j-disc-issn-2667-7466;j-disc-issn-0304-4793","Turkish archives of otorhinolaryngology | Turkish Archives of Otorhinolaryngology"
"issn_l:0992-986X",CAND-016851,"CAND-023090","j-disc-issn-2397-8570;j-disc-issn-0992-986X","International review of social psychology | International Review of Social Psychology"
"issn_l:2339-0344",CAND-016880,"CAND-020968","j-disc-issn-2503-2305;j-disc-issn-2339-0344","Journal of Vocational and Career Education"
"issn_l:2685-6905",CAND-016916,"CAND-021066","j-disc-issn-2685-7812;j-disc-issn-2685-6905","Mazahibuna"
"issn_l:2615-4285",CAND-016946,"CAND-021045","j-disc-issn-2615-5508;j-disc-issn-2615-4285","JURNAL DIKDAS BANTARA"
"issn_l:2339-0794",CAND-016948,"CAND-021056","j-disc-issn-2477-0515;j-disc-issn-2339-0794","JURNAL NALAR PENDIDIKAN"
"issn_l:2550-2530",CAND-016988,"CAND-021018","j-disc-issn-2738-2028;j-disc-issn-2550-2530","Journal of Business and Technology"
"issn_l:1472-9466",CAND-017032,"CAND-023045","j-disc-issn-2631-9713;j-disc-issn-1472-9466","History Education Research Journal"
"issn_l:1665-8612",CAND-017093,"CAND-023083","j-disc-issn-2992-6823;j-disc-issn-1665-8612","Revista del Centro de Investigación de la Universidad la Salle"
"issn_l:2686-021X",CAND-017097,"CAND-021135","j-disc-issn-2686-021X;j-disc-issn-2722-4554","Indonesian Journal of Anesthesiology and Reanimation"
"issn_l:0794-800X",CAND-017120,"CAND-021247","j-disc-issn-1596-2431;j-disc-issn-0794-800X","AFRICAN JOURNAL OF PHARMACEUTICAL RESEARCH AND DEVELOPMENT"
"issn_l:2355-6773",CAND-017289,"CAND-017303","j-disc-issn-2477-4405;j-disc-issn-2355-6773","Jurnal Keperawatan Aisyiyah"
"issn_l:2775-5789",CAND-017297,"CAND-021249","j-disc-issn-2775-5789;j-disc-issn-2962-746X","Dawuh Guru Jurnal Pendidikan MI/SD"
"issn_l:1846-4580",CAND-017396,"CAND-017452","j-disc-issn-1846-4580;j-disc-issn-1846-4599","Kairos"
"issn_l:2686-5343",CAND-017491,"CAND-020988","j-disc-issn-2715-7989;j-disc-issn-2686-5343","Jurnal Kajian Anak (J-Sanak)"
"issn_l:1979-018X",CAND-017520,"CAND-021091","j-disc-issn-2460-0385;j-disc-issn-1979-018X","ROTOR"
"issn_l:2251-807X",CAND-017555,"CAND-020900","j-disc-issn-2383-2088;j-disc-issn-2251-807X","Journal of Health and Safety at Work | Bihdāsht va īminī-i kār/Bihdāsht va īminī-i kār"
"issn_l:3041-2056",CAND-017556,"CAND-018914","j-disc-issn-3041-2056;j-disc-issn-2617-0302","Musicology of Kyiv"
"issn_l:1405-1451",CAND-017597,"CAND-020218","j-disc-issn-2954-5056;j-disc-issn-1405-1451","Revista Jurídica Jalisciense"
"issn_l:2746-5276",CAND-017612,"CAND-021039","j-disc-issn-2746-5276;j-disc-issn-2775-0116","Media Jurnal Filsafat dan Teologi"
"issn_l:2971-5121",CAND-017627,"CAND-019068","j-disc-issn-3027-1819;j-disc-issn-2971-5121","International Journal of Home Economics Hospitality and Allied Research"
"issn_l:2549-4813",CAND-017669,"CAND-021120","j-disc-issn-2549-368X;j-disc-issn-2549-4813","IJ-ATL (International Journal of Arabic Teaching and Learning)"
"issn_l:1894-8693",CAND-017752,"CAND-017905","j-disc-issn-1894-8693;j-disc-issn-2703-7045","Nordisk politiforskning | Nordic Journal of Studies in Policing"
"issn_l:0972-9968",CAND-017763,"CAND-019795","j-disc-issn-2633-0091;j-disc-issn-0972-9968","Rajagiri Management Journal"
"issn_l:2636-5839",CAND-017764,"CAND-021170","j-disc-issn-2814-2446;j-disc-issn-2636-5839","Ahyu A Journal of Language and Literature"
"issn_l:2986-4585",CAND-017765,"CAND-021181","j-disc-issn-2986-4585;j-disc-issn-2774-7980","AQWAL Journal of Qur an and Hadis Studies"
"issn_l:2549-8851",CAND-017788,"CAND-020978","j-disc-issn-2549-8851;j-disc-issn-2580-412X","Journal of Moral and Civic Education"
"issn_l:2828-2310",CAND-017879,"CAND-021166","j-disc-issn-2828-2310;j-disc-issn-2828-271X","Chemistry and Materials"
"issn_l:1412-5366",CAND-017890,"CAND-021012","j-disc-issn-2459-9816;j-disc-issn-1412-5366","Jurnal Ekonomi Akuntansi dan Manajemen"
"issn_l:2657-0440",CAND-017907,"CAND-021093","j-disc-issn-2686-0740;j-disc-issn-2657-0440","ARITHMETIC Academic Journal of Math"
"issn_l:2251-9092",CAND-017939,"CAND-021125","j-disc-issn-2251-9106;j-disc-issn-2251-9092","The Journal of Planning and Budgeting"
"issn_l:2775-1236",CAND-018073,"CAND-021023","j-disc-issn-2775-2119;j-disc-issn-2775-1236","Al-Hilal Journal of Islamic Astronomy"
"issn_l:1853-0710",CAND-018114,"CAND-020983","j-disc-issn-2314-2502;j-disc-issn-1853-0710","Boletín de Arte"
"issn_l:2746-3206",CAND-018213,"CAND-021162","j-disc-issn-2746-3206;j-disc-issn-2797-8370","Nabawi Journal of Hadith Studies"
"issn_l:2797-6432",CAND-018214,"CAND-021173","j-disc-issn-2797-6432;j-disc-issn-2797-4014","JIEF Journal of Islamic Economics and Finance"
"issn_l:2517-9861",CAND-018347,"CAND-020436","j-disc-issn-2788-9114;j-disc-issn-2517-9861","The Journal of Geography Education in Africa | Journal of Geography Education in Africa (JoGEA)"
"issn_l:2550-6641",CAND-018355,"CAND-020653","j-disc-issn-2661-6513;j-disc-issn-2550-6641","Estudios de la Gestión revista internacional de administración"
"issn_l:2715-2448",CAND-018457,"CAND-020701","j-disc-issn-2715-7199;j-disc-issn-2715-2448","Buana Information Technology and Computer Sciences (BIT and CS)"
"issn_l:2548-5261",CAND-018463,"CAND-020987","j-disc-issn-2548-527X;j-disc-issn-2548-5261","AFEBI Economic and Finance Review"
"issn_l:2987-4009",CAND-018480,"CAND-021184","j-disc-issn-2987-4009;j-disc-issn-2987-5404","Media Ilmiah Kesehatan Indonesia"
"issn_l:2717-7408",CAND-018574,"CAND-019971","j-disc-issn-2717-7408;j-disc-issn-2757-9247","Turkish Journal of Diaspora Studies"
"issn_l:1391-1996",CAND-018600,"CAND-021183","j-disc-issn-2773-6989;j-disc-issn-1391-1996","Gajah"
"issn_l:2338-2074",CAND-018662,"CAND-021079","j-disc-issn-2621-296X;j-disc-issn-2338-2074","Jurnal Ilmu Keperawatan Anak"
"issn_l:2715-4408",CAND-018697,"CAND-020973","j-disc-issn-2715-4416;j-disc-issn-2715-4408","LETS Journal of Linguistics and English Teaching Studies"
"issn_l:2783-8676",CAND-018698,"CAND-021245","j-disc-issn-2783-8676;j-disc-issn-2783-8897","Journal of South Asian Logistics and Transport"
"issn_l:3106-5406",CAND-018710,"CAND-020706","j-disc-issn-2959-121X;j-disc-issn-3106-5406","Journal of Medicinal and Industrial Plant Sciences"
"issn_l:2723-3596",CAND-018725,"CAND-021113","j-disc-issn-2746-0509;j-disc-issn-2723-3596","Al-Ma mun Jurnal Kajian Kepustakawanan dan Informasi"
"issn_l:1596-0544",CAND-018789,"CAND-021188","j-disc-issn-1596-0757;j-disc-issn-1596-0544","Recent Advances in Natural Sciences"
"issn_l:3025-2512",CAND-018840,"CAND-021251","j-disc-issn-3025-3047;j-disc-issn-3025-2512","Literasi Kesehatan Husada. | Literasi Kesehatan Husada"
"issn_l:2775-0760",CAND-018889,"CAND-021240","j-disc-issn-2775-0760;j-disc-issn-2776-8457","Journal of Comparative Study of Religions"
"issn_l:2232-1926",CAND-018906,"CAND-023187","j-disc-issn-2821-2916;j-disc-issn-2232-1926","Asian Journal of ASSESSMENT in Teaching and Learning | Asian Journal of Assessment in Teaching and Learning"
"issn_l:2774-7999",CAND-018935,"CAND-021178","j-disc-issn-2774-8723;j-disc-issn-2774-7999","El Tarikh Journal of History Culture and Islamic Civilization"
"issn_l:2809-1345",CAND-018975,"CAND-021175","j-disc-issn-2809-5359;j-disc-issn-2809-1345","Jurnal Inovasi Pendidikan Agama Islam (JIPAI)"
"issn_l:2987-6575",CAND-019009,"CAND-021185","j-disc-issn-2987-6893;j-disc-issn-2987-6575","Journal of Islamic Education and Ethics"
"issn_l:3063-4563",CAND-019012,"CAND-021252","j-disc-issn-3063-4563;j-disc-issn-3063-5527","Khidmat. | Khidmat,"
"issn_l:1833-5233",CAND-019059,"CAND-019086","j-disc-issn-2205-3166;j-disc-issn-1833-5233","New Voices in Japanese Studies | New Voices"
"issn_l:3021-8101",CAND-019080,"CAND-021192","j-disc-issn-3021-8101;j-disc-issn-3025-2369","IREELL Indonesian Review of English Education Linguistics and Literature"
"issn_l:2087-5010",CAND-019127,"CAND-021253","j-disc-issn-3047-9444;j-disc-issn-2087-5010","Analisis Sejarah."
"issn_l:3025-1842",CAND-019177,"CAND-021195","j-disc-issn-3025-7638;j-disc-issn-3025-1842","International Journal of Research in Mathematics Education"
"issn_l:0121-3520",CAND-019220,"CAND-020972","j-disc-issn-2145-5236;j-disc-issn-0121-3520","Revista Novedades Colombianas"
"issn_l:2228-9135",CAND-019246,"CAND-021172","j-disc-issn-2228-9194;j-disc-issn-2228-9135","International Journal of Building Urban Interior and Landscape Technology (BUILT)"
"issn_l:2797-8125",CAND-019312,"CAND-021164","j-disc-issn-2797-8125;j-disc-issn-2798-0383","Maliki Islamic Economics Journal"
"issn_l:1854-3332",CAND-019372,"CAND-019585","j-disc-issn-1854-3332;j-disc-issn-2784-7497","Logistics Supply Chain Sustainability and Global Challenges"
"issn_l:2621-2978",CAND-019384,"CAND-021092","j-disc-issn-2621-2978;j-disc-issn-2685-9394","Jurnal Ilmu Keperawatan Jiwa"
"issn_l:1829-4405",CAND-019399,"CAND-020131","j-disc-issn-2738-2931;j-disc-issn-1829-4405","International Journal of Armenian Genocide Studies"
"issn_l:2757-9999",CAND-019446,"CAND-021257","j-disc-issn-2822-468X;j-disc-issn-2757-9999","Nesir Edebiyat Araştırmaları Dergisi"
"issn_l:0325-772X",CAND-019544,"CAND-021090","j-disc-issn-2525-0884;j-disc-issn-0325-772X","Res Gesta"
"issn_l:2988-2745",CAND-019601,"CAND-021190","j-disc-issn-2988-2745;j-disc-issn-2988-2753","Lareh Law Review"
"issn_l:3026-2550",CAND-019602,"CAND-021196","j-disc-issn-3026-2550;j-disc-issn-3031-0636","Jurnal Konatif Jurnal Ilmiah Pendidikan"
"issn_l:1735-2363",CAND-019625,"CAND-021003","j-disc-issn-2322-5564;j-disc-issn-1735-2363","Scientific research journal of Health System Research"
"issn_l:2807-8225",CAND-019758,"CAND-021244","j-disc-issn-2807-8683;j-disc-issn-2807-8225","Semarang State University Undergraduate Law and Society Review"
"issn_l:2986-6391",CAND-019772,"CAND-021186","j-disc-issn-2988-3504;j-disc-issn-2986-6391","Journal of Safety Education"
"issn_l:2988-7461",CAND-019773,"CAND-021189","j-disc-issn-2988-747X;j-disc-issn-2988-7461","Jurnal Ilmiah Informatika dan Ilmu Komputer (JIMA-ILKOM)"
"issn_l:2460-8599",CAND-019843,"CAND-021009","j-disc-issn-2581-2807;j-disc-issn-2460-8599","JP3M (Jurnal Penelitian Pendidikan dan Pengajaran Matematika)"
"issn_l:1675-722X",CAND-019880,"CAND-021179","j-disc-issn-2590-423X;j-disc-issn-2811-3799","International Journal of Banking and Finance"
"issn_l:2775-7218",CAND-019986,"CAND-021194","j-disc-issn-3025-9657;j-disc-issn-2775-7218","Warkat"
"issn_l:1301-3394",CAND-020021,"CAND-023168","j-disc-issn-2980-2482;j-disc-issn-1301-3394","Uludağ İlahiyat Dergisi"
"issn_l:2776-9682",CAND-020027,"CAND-020473","j-disc-issn-2776-9682;j-disc-issn-2798-396X","Business and Economic Analysis Journal"
"issn_l:3025-9401",CAND-020088,"CAND-021246","j-disc-issn-3025-9401;j-disc-issn-3030-9360","Delicti Jurnal Hukum Pidana Dan Kriminologi"
"issn_l:1590-492X",CAND-020183,"CAND-020949","j-disc-issn-1825-8670;j-disc-issn-1590-492X","Encyclopaideia"
"issn_l:0800-2452",CAND-020250,"CAND-020277","j-disc-issn-0800-2452;j-disc-issn-2703-8327","Dance Articulated"
"issn_l:1324-4558",CAND-020483,"CAND-021371","j-disc-issn-1324-4558;j-disc-issn-2617-1953","Limina"
"issn_l:1224-5178",CAND-020540,"CAND-020980","j-disc-issn-3100-5098;j-disc-issn-1224-5178","Scientific Bulletin (Scientific Bulletin of the Nicolae Balcescu Land Forces Academy Siblu Romania) | Scientific Bulletin"
"issn_l:2423-6772",CAND-020659,"CAND-020886","j-disc-issn-2423-6772;j-disc-issn-2423-6764","Health Research in Community | Journal of Health research in community"
"issn_l:1693-4040",CAND-021014,"CAND-023127","j-disc-issn-2599-0551;j-disc-issn-1693-4040","Afkaruna : Indonesian Interdisciplinary Journal of Islamic Studies | Afkaruna Indonesian Interdisciplinary Journal of Islamic Studies"
"issn_l:0326-3401",CAND-021308,"CAND-022974","j-disc-issn-2314-3312;j-disc-issn-0326-3401","Revista del Hospital Italiano de Buenos Aires"
"issn_l:2965-8101",CAND-021424,"CAND-022715","j-disc-issn-2965-8101;j-disc-issn-2624-8417","Cognitio"
"issn_l:0120-3347",CAND-021648,"CAND-022918","j-disc-issn-2256-2087;j-disc-issn-0120-3347","Colombian Journal of Anesthesiology"
"issn_l:1316-7081",CAND-021649,"CAND-023097","j-disc-issn-2389-9484;j-disc-issn-1316-7081","Ciencia e Ingeniería"
"issn_l:1978-8304",CAND-021894,"CAND-023181","j-disc-issn-2580-4154;j-disc-issn-1978-8304","Jurnal Penelitian Pendidikan | Jurnal Penelitian Pendidikan/Jurnal penelitian pendidikan"
"issn_l:0038-0806",CAND-022453,"CAND-022894","j-disc-issn-2524-1788;j-disc-issn-0038-0806","Soils and Foundations | SOILS AND FOUNDATIONS"
"issn_l:0509-6669",CAND-022513,"CAND-022952","j-disc-issn-2545-2835;j-disc-issn-0509-6669","Transactions on Aerospace Research | Transactions of the Institute of Aviation"
"issn_l:0860-8229",CAND-022522,"CAND-022948","j-disc-issn-2300-1941;j-disc-issn-0860-8229","Metrology and Measurement Systems"
"issn_l:1681-1178",CAND-022652,"CAND-022973","j-disc-issn-1681-1208;j-disc-issn-1681-1178","Russian Journal of Earth Sciences | Rossijskij žurnal nauk o zemle/Russian journal of earth sciences"
"issn_l:1133-3030",CAND-022684,"CAND-023125","j-disc-issn-1575-9733;j-disc-issn-1133-3030","Cuadernos de Documentación Multimedia | Cuardernos de documentación multimedia/Cuadernos de documentación multimedia"
"issn_l:0537-3522",CAND-022698,"CAND-022953","j-disc-issn-2339-6989;j-disc-issn-0537-3522","Indice Histórico Español | Índice Histórico Español"
"issn_l:1686-9664",CAND-022740,"CAND-022745","j-disc-issn-2985-2625;j-disc-issn-1686-9664","Journal of Science and Technology Mahasarakham University | Warasan Witthayasat Lae Theknoloyi Mahawitthayalai Mahasarakham"
"issn_l:2147-2122",CAND-022752,"CAND-023035","j-disc-issn-2667-4610;j-disc-issn-2147-2122","Bulletin of Urooncology"
"issn_l:0303-9692",CAND-022801,"CAND-022921","j-disc-issn-2235-6282;j-disc-issn-0303-9692","Swiss Journal of Economics and Statistics | Zeitschrift für schweizerische Statistik und Volkswirtschaft/Schweizerische Zeitschrift für Volkswirtschaft und Statistik/Swiss journal of economics and statistics"
